Number of Slices (#), APOPT Objective (ms), APOPT Objective (STDEV), APOPT Solution Time (sec), APOPT Solution Time (STDEV)
1,5.625,0.000000,0.007664705883470588,0.000384
2,22.5,0.000000,0.007482352942176471,0.000311
3,50.625,0.000000,0.007723529410588235,0.000317
4,90.0,0.000000,0.007688235296352941,0.000284
5,140.625,0.000000,0.007788235296058823,0.000334
6,202.5,0.000000,0.00771764706082353,0.000310
7,275.625,0.000000,0.007864705881,0.000296
8,360.0,0.000000,0.007858823529529413,0.000232
9,455.625,0.000000,0.007970588232058824,0.000303
10,562.5,0.000000,0.008099999999529412,0.000319
11,680.625,0.000000,0.007994117648411765,0.000165
12,810.0,0.000000,0.008417647058000001,0.000308
13,950.625,0.000000,0.008400000000058824,0.000285
14,1102.5,0.000000,0.008447058825882354,0.000280
15,1265.625,0.000000,0.00890588235135294,0.000434
16,1440.0,0.000000,0.008964705883588235,0.000290
17,1625.625,0.000000,0.009064705881529411,0.000322
18,1822.5,0.000000,0.00929411764682353,0.000285
19,2030.6250000000002,0.000000,0.009388235293294118,0.000315
20,2250.0,0.000000,0.009658823529294118,0.000305
21,2480.625,0.000000,0.009711764706705883,0.000306
22,2722.5,0.000000,0.009852941175352941,0.000244
23,2975.625,0.000000,0.010041176468117648,0.000253
24,3240.0,0.000000,0.01030588235282353,0.000295
25,3515.625,0.000000,0.010417647059000001,0.000253
26,3802.5,0.000000,0.010752941173588236,0.000293
27,4100.625,0.000000,0.010982352938823528,0.000213
28,4410.0,0.000000,0.011352941176411765,0.000213
29,4730.625,0.000000,0.011494117646882353,0.000260
30,5062.5,0.000000,0.011747058821705882,0.000272
31,5405.625,0.000000,0.012305882357000001,0.000254
32,5760.0,0.000000,0.012635294116941177,0.000184
33,6125.625,0.000000,0.013005882354352941,0.000253
34,6502.5,0.000000,0.01299411764782353,0.000181
35,6890.625,0.000000,0.013305882353117648,0.000227
36,7290.0,0.000000,0.013805882351352942,0.000309
37,7700.625,0.000000,0.014152941179294118,0.000208
38,8122.500000000001,0.000000,0.014488235295764706,0.000218
39,8555.625,0.000000,0.01473529411217647,0.000219
40,9000.0,0.000000,0.015076470588705882,0.000104
41,9455.625,0.000000,0.015664705879941176,0.000206
42,9922.5,0.000000,0.016564705883411766,0.000268
43,10400.625,0.000000,0.01655294117864706,0.000195
44,10890.0,0.000000,0.016899999999764707,0.000277
45,11390.625,0.000000,0.017276470587,0.000196
46,11902.5,0.000000,0.017835294117411766,0.000173
47,12425.625,0.000000,0.018182352941941177,0.000189
48,12960.0,0.000000,0.01881176470752941,0.000270
49,13505.625,0.000000,0.01930000000082353,0.000160
50,14062.5,0.000000,0.01990000000364706,0.000118
51,14630.625,0.000000,0.020488235293176473,0.000180
52,15210.0,0.000000,0.020994117649470588,0.000116
53,15800.625,0.000000,0.021623529413294117,0.000186
54,16402.5,0.000000,0.02211176470664706,0.000193
55,17015.625,0.000000,0.02276470588,0.000130
56,17640.0,0.000000,0.023352941176294117,0.000213
57,18275.625,0.000000,0.023905882355117647,0.000152
58,18922.5,0.000000,0.02471176470511765,0.000191
59,19580.625,0.000000,0.02520588235511765,0.000167
60,20250.0,0.000000,0.026023529410058824,0.000160
61,20930.625,0.000000,0.02677058823135294,0.000229
62,21622.5,0.000000,0.027417647058235295,0.000179
63,22325.625,0.000000,0.02804117647052941,0.000164
64,23040.0,0.000000,0.02934117647064706,0.000190
