Number of Slices (#), IPOPT Objective (sec), IPOPT Objective (STDEV), IPOPT Solution Time (sec), IPOPT Solution Time (STDEV)
1,0.005625,0.000000,0.0054352941173,0.000050
2,0.0225,0.000000,0.0059058823526470594,0.000050
3,0.050625,0.000000,0.005905882354317648,0.000030
4,0.09,0.000000,0.006335294115470589,0.000048
5,0.140625,0.000000,0.007035294119647059,0.000057
6,0.2025,0.000000,0.007747058823470588,0.000040
7,0.275625,0.000000,0.008770588235764706,0.000052
8,0.36,0.000000,0.011741176468529412,0.000057
9,0.455625,0.000000,0.015035294118,0.000063
10,0.5625,0.000000,0.018164705883882352,0.000037
11,0.680625,0.000000,0.019964705880470588,0.000134
12,0.81,0.000000,0.024252941171176472,0.000056
13,0.950625,0.000000,0.03255882352658824,0.000093
14,1.1025,0.000000,0.040052941173529415,0.000278
15,1.265625,0.000000,0.04474117646770588,0.000084
16,1.44,0.000000,0.054982352936823534,0.000088
17,1.625625,0.000000,0.06747058824,0.000111
18,1.8225,0.000000,0.08246470588176472,0.000094
19,2.030625,0.000000,0.10054117647117647,0.000099
20,2.25,0.000000,0.12302352940705882,0.000174
21,2.480625,0.000000,0.14689411764764707,0.000129
22,2.7225,0.000000,0.19636470588176472,0.000335
23,2.975625,0.000000,0.23574117647117648,0.000626
24,3.24,0.000000,0.27936470588,0.000177
25,3.515625,0.000000,0.33182352940882354,0.000721
26,3.8025,0.000000,0.4307352941147059,0.000222
27,4.100625,0.000000,0.4611882352947059,0.000538
28,4.41,0.000000,0.5397411764694118,0.000353
29,4.730625,0.000000,0.759835294117647,0.000559
30,5.0625,0.000000,0.808564705882353,0.000778
31,5.405625,0.000000,0.7647176470588236,0.000743
32,5.76,0.000000,0.8818470588235294,0.000395
33,6.125625,0.000000,1.0192294117647058,0.001481
34,6.5025,0.000000,1.1675117647058824,0.001009
35,6.890625,0.000000,1.327764705882353,0.000651
36,7.29,0.000000,1.5098882352941176,0.002314
37,7.700625,0.000000,1.7162117647058823,0.001071
38,8.1225,0.000000,1.9440529411764707,0.003536
39,8.555625,0.000000,2.191188235294118,0.001270
40,9.0,0.000000,2.4754470588235296,0.001905
41,9.455625,0.000000,2.769429411764706,0.001584
42,9.9225,0.000000,3.1039764705882353,0.002647
43,10.400625,0.000000,3.4719058823529414,0.003340
44,10.89,0.000000,3.8514235294117647,0.005058
45,11.390625,0.000000,4.303876470588236,0.003677
46,11.9025,0.000000,4.776105882352941,0.002529
47,12.425625,0.000000,5.283435294117647,0.002778
48,12.96,0.000000,5.845982352941177,0.011039
49,13.505625,0.000000,6.447252941176471,0.003760
50,14.0625,0.000000,7.095376470588236,0.005940
51,14.630625,0.000000,7.799064705882353,0.005809
52,15.21,0.000000,8.526188235294118,0.015670
53,15.800625,0.000000,9.372264705882353,0.011280
54,16.4025,0.000000,10.2685,0.006770
55,17.015625,0.000000,11.224311764705883,0.013348
56,17.64,0.000000,12.232370588235295,0.007235
57,18.275625,0.000000,13.343305882352942,0.010259
58,18.9225,0.000000,14.464317647058824,0.010680
59,19.580625,0.000000,15.723441176470589,0.010681
60,20.25,0.000000,16.965982352941175,0.027624
61,20.930625,0.000000,18.481782352941178,0.015370
62,21.6225,0.000000,19.997588235294117,0.017398
63,22.325625,0.000000,21.59743529411765,0.020787
64,23.04,0.000000,23.340752941176472,0.008639
