Number of Slices (#), Z3 Objective (ms), Z3 Objective (STDEV), Z3 Solution Time (sec), Z3 Solution Time (STDEV)
1,5.6,0.000000,0.02799086570739746,0.005957
2,24.7,0.000000,0.029517078399658205,0.004689
3,67.10000000000001,0.000000,0.032505369186401366,0.005126
4,353.69999999999993,0.000000,0.038274526596069336,0.005327
5,1231.5,0.000000,0.05348458290100098,0.012769
6,1262.7000000000003,0.000000,0.062385392189025876,0.014217
7,2222.2999999999997,0.000000,0.7265079259872437,0.144399
8,2351.3,0.000000,0.7216774702072144,0.025678
9,3617.499999999999,0.000000,3.8639651775360107,1.581730
10,6338.7,0.000000,42.581068348884585,0.870712
